Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
3, 3, 12.000000,0, bkbgl04s03.wav
3, 4, 14.000000,0, bkbgl02s09.wav
3, 5, 16.000000,0, bkbgl01s07.wav
3, 6, 18.000000,0, bkbgl06s09.wav
3, 7, 20.000000,0, bkbgl01s14.wav
3, 8, 22.000000,0, bkbgl05s12.wav
3, 9, 24.000000,0, bkbgl02s12.wav
3, 10, 26.000000,0, bkbgl04s09.wav
3, 11, 28.000000,0, bkbgl02s07.wav
3, 12, 30.000000,0, bkbgl02s02.wav
3, 13, 32.000000,0, bkbgl06s02.wav
3, 14, 34.000000,0, bkbgl06s08.wav
3, 15, 36.000000,0, bkbgl06s12.wav
3, 16, 38.000000,0, bkbgl02s10.wav
3, 17, 40.000000,0, bkbgl03s09.wav
3, 18, 42.000000,0, bkbgl04s05.wav
3, 19, 44.000000,0, bkbgl04s16.wav
3, 20, 46.000000,0, bkbgl03s10.wav
3, 21, 48.000000,0, bkbgl01s04.wav
3, 22, 50.000000,0, bkbgl03s04.wav
3, 23, 52.000000,0, bkbgl01s15.wav
3, 24, 54.000000,0, bkbgl05s13.wav
3, 25, 56.000000,0, bkbgl01s16.wav
3, 26, 58.000000,0, bkbgl03s06.wav
3, 27, 60.000000,0, bkbgl02s08.wav
3, 28, 62.000000,0, bkbgl01s03.wav
3, 29, 64.000000,0, bkbgl05s06.wav
3, 30, 66.000000,0, bkbgl02s05.wav
3, 31, 68.000000,0, bkbgl01s05.wav
3, 32, 70.000000,0, bkbgl03s12.wav
3, 33, 72.000000,0, bkbgl01s08.wav
3, 34, 74.000000,0, bkbgl03s03.wav
3, 35, 76.000000,0, bkbgl05s15.wav
3, 36, 78.000000,0, bkbgl04s13.wav
3, 37, 80.000000,0, bkbgl03s13.wav
3, 38, 82.000000,0, bkbgl04s07.wav
3, 39, 84.000000,0, bkbgl04s12.wav
3, 40, 86.000000,0, bkbgl05s05.wav
3, 41, 88.000000,0, bkbgl04s11.wav
3, 42, 90.000000,0, bkbgl04s04.wav
3, 43, 92.000000,0, bkbgl01s11.wav
3, 44, 94.000000,0, bkbgl03s08.wav
3, 45, 96.000000,0, bkbgl05s01.wav
3, 46, 98.000000,0, bkbgl04s15.wav
3, 47, 100.000000,0, bkbgl06s03.wav
3, 48, 102.000000,0, bkbgl01s12.wav
3, 49, 104.000000,0, bkbgl02s14.wav
3, 50, 106.000000,0, bkbgl02s04.wav
3, 51, 108.000000,0, bkbgl06s05.wav
3, 52, 110.000000,0, bkbgl02s01.wav
3, 53, 112.000000,0, bkbgl05s14.wav
3, 54, 114.000000,0, bkbgl02s13.wav
3, 55, 116.000000,0, bkbgl03s02.wav
3, 56, 118.000000,0, bkbgl05s02.wav
3, 57, 120.000000,0, bkbgl01s02.wav
3, 58, 122.000000,0, bkbgl04s14.wav
3, 59, 124.000000,0, bkbgl03s16.wav
