Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
1, 2, 10.000000,0, bkbgl04s14.wav
1, 3, 12.000000,0, bkbgl01s03.wav
1, 4, 14.000000,0, bkbgl03s13.wav
1, 5, 16.000000,0, bkbgl02s05.wav
1, 6, 18.000000,0, bkbgl05s15.wav
1, 7, 20.000000,0, bkbgl01s04.wav
1, 8, 22.000000,0, bkbgl02s01.wav
1, 9, 24.000000,0, bkbgl06s02.wav
1, 10, 26.000000,0, bkbgl06s12.wav
1, 11, 28.000000,0, bkbgl04s11.wav
1, 12, 30.000000,0, bkbgl04s04.wav
1, 13, 32.000000,0, bkbgl05s12.wav
1, 14, 34.000000,0, bkbgl02s06.wav
1, 15, 36.000000,0, bkbgl04s02.wav
1, 16, 38.000000,0, bkbgl01s02.wav
1, 17, 40.000000,0, bkbgl03s12.wav
1, 18, 42.000000,0, bkbgl04s05.wav
1, 19, 44.000000,0, bkbgl05s02.wav
1, 20, 46.000000,0, bkbgl03s07.wav
1, 21, 48.000000,0, bkbgl04s16.wav
1, 22, 50.000000,0, bkbgl05s13.wav
1, 23, 52.000000,0, bkbgl01s15.wav
1, 24, 54.000000,0, bkbgl05s11.wav
1, 25, 56.000000,0, bkbgl03s16.wav
1, 26, 58.000000,0, bkbgl05s09.wav
1, 27, 60.000000,0, bkbgl01s07.wav
1, 28, 62.000000,0, bkbgl06s08.wav
1, 29, 64.000000,0, bkbgl03s14.wav
1, 30, 66.000000,0, bkbgl06s10.wav
1, 31, 68.000000,0, bkbgl01s09.wav
1, 32, 70.000000,0, bkbgl01s06.wav
1, 33, 72.000000,0, bkbgl03s02.wav
1, 34, 74.000000,0, bkbgl02s07.wav
1, 35, 76.000000,0, bkbgl05s01.wav
1, 36, 78.000000,0, bkbgl03s01.wav
1, 37, 80.000000,0, bkbgl02s09.wav
1, 38, 82.000000,0, bkbgl04s07.wav
1, 39, 84.000000,0, bkbgl02s13.wav
1, 40, 86.000000,0, bkbgl04s09.wav
1, 41, 88.000000,0, bkbgl02s04.wav
1, 42, 90.000000,0, bkbgl06s07.wav
1, 43, 92.000000,0, bkbgl02s02.wav
1, 44, 94.000000,0, bkbgl04s13.wav
1, 45, 96.000000,0, bkbgl03s15.wav
1, 46, 98.000000,0, bkbgl06s03.wav
1, 47, 100.000000,0, bkbgl03s08.wav
1, 48, 102.000000,0, bkbgl02s15.wav
1, 49, 104.000000,0, bkbgl04s03.wav
1, 50, 106.000000,0, bkbgl01s01.wav
1, 51, 108.000000,0, bkbgl01s11.wav
1, 52, 110.000000,0, bkbgl03s09.wav
