Subject Number, 0, Age,
Test condition, Round Number, SNR, Number of words correct, File loaded
1, 2, 10.000000,0, bkbgl04s14.wav
1, 3, 12.000000,0, bkbgl01s03.wav
1, 4, 14.000000,0, bkbgl03s13.wav
1, 5, 16.000000,0, bkbgl02s05.wav
1, 6, 18.000000,0, bkbgl05s15.wav
1, 7, 20.000000,0, bkbgl01s04.wav
1, 8, 22.000000,0, bkbgl02s01.wav
